row_id,group,series,char,relation_in_shuowen,shuowen_gloss,shuowen_id,daxu_fanqie,guangyun_position,guangyun_fanqie,mc_bs2014,mc_match_method,mc_confidence,guangyun_all_readings,oc_bs2014,oc_status,oc_zhengzhang,oc_zz_status,duan_rhyme_group,series_head_rhyme_group,duan_semantic_remarks,duan_loan_extension_remarks,claimed_core,claimed_core_source,code_core,alt_core,code_alt_core,coder,coder_note,flags,src_gloss,src_duan,src_mc,duan_full_notes
11,youwen,戔,棧,聲,棚也。竹木之車曰棧。从木戔聲。,3714,士限切,崇開二山上,士限,dzreanX,identical_fanqie,high,崇開二山上 士限切 dzreanX | 崇開三仙上 士免切 dzrjenX | 崇開二刪去 士諫切 dzraenH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,不言一曰者、其義同也。小雅傳曰。棧車、役車。箋云。棧車、輦者。許云竹木之車者、謂以竹若木散材編之爲箱、如柵然。是曰棧車。棧者上下四㫄皆偁焉。公羊傳云。亡國之社。掩其上而柴其下。周禮喪祝注作奄其上而棧其下。棧其下、謂以竹木布於地也。 ‖ 士限切。十四部。
12,youwen,戔,賤,聲,賈少也。从貝戔聲。,3963,才線切,從開三仙去,才線,dzjenH,identical_fanqie,high,從開三仙去 才線切 dzjenH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",Y,,,"Claude (first pass, unverified)","""賈少也""",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,賈、今之價字。 ‖ 才線切。十四部。
13,youwen,戔,帴,聲,帬也。一曰帗也。一曰婦人脅衣。从巾戔聲。讀若末殺之殺。,4849,所八切,生開二山入,所八,sreat,identical_fanqie,high,從開一寒平 昨干切 dzan | 精開四先平 則前切 tsen | 精開三仙上 即淺切 tsjenX | 心開一寒去 蘇旰切 sanH | 生開二山入 所八切 sreat,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)",,duan_rhyme_missing,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,衣部褿下曰。帴也。 ‖ 帗、一幅巾也。 ‖ 釋名所謂心衣。小徐作脅巾。 ‖ 末殺、亦見漢書谷永傳。服虔注左傳作末𥻦。皆卽水部之瀎㳚。拭滅皃也。今京師有此語。所八切。古音十四十五部合韵。
14,youwen,戔,俴,聲,淺也。从人戔聲。,5100,慈衍切,從開三仙上,慈演,dzjenX,initial+rhyme+tone,high,從開三仙上 慈演切 dzjenX | 精開三仙上 即淺切 tsjenX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",Y,,,"Claude (first pass, unverified)","""淺也""",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,秦風。小戎俴收。釋言、毛傳皆曰。俴、淺也。 ‖ 慈衍切。十四部。
15,youwen,戔,㹽,聲,齧也。从犬戔聲。,6294,初版切,初開二刪上,初板,tsrhaenX,initial+rhyme+tone,high,初開二刪上 初板切 tsrhaenX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,犬字今補。 ‖ 初版切。十四部。
16,youwen,戔,淺,聲,不深也。从水戔聲。,7191,七衍切,清開三仙上,七演,tshjenX,initial+rhyme+tone,high,精開四先平 則前切 tsen | 清開三仙上 七演切 tshjenX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,帴者、淺之假借,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",Y,,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,許於深下但云水名。不云不淺。而測下淺下𥥍下可以補足其義。是亦一例。按不深曰淺。不廣亦曰淺。故考工記曰。以博爲帴。帴者、淺之假借。又馬、鄭古文尚書夤淺納日。馬云。淺、滅也。馬意讀爲戩滅之戩。謂伺日入也。 ‖ 七衍切。十四部。
17,youwen,戔,綫,聲,縷也。从糸戔聲。,8634,私箭切,心開三仙去,私箭,sjenH,identical_fanqie,high,心開三仙去 私箭切 sjenH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,引申之絲亦偁綫,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",E,,,"Claude (first pass, unverified)",缕为细物，但释义未言小,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,鄭司農周禮注曰。線、縷也。此本謂布綫。引申之絲亦偁綫。 ‖ 私箭切。十四部。 ‖ 周禮縫人作線。鮑人同。注曰。故書線作綜。當爲糸旁泉。讀爲絤。按線作綜、字之誤也。絤則鄭時行此字。漢功臣表。不絕如綫。晉灼曰。綫今線縷字。葢晉時通行線字。故云尒。許時古線今綫。晉時則爲古綫今線。葢文字古今轉移無定如此。
18,youwen,戔,錢,聲,銚也。古田器。从金戔聲。《詩》曰：“庤乃錢鎛。”,9300,即淺切,精開三仙上,即淺,tsjenX,identical_fanqie,high,從開三仙平 昨仙切 dzjen | 精開三仙上 即淺切 tsjenX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,玉裁謂秦漢乃叚借錢爲泉,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)","本义田器；""金之小者""之说不合说文",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,詩毛傳云尒。見上文銚字下。云古田器者、古謂之錢。今則但謂之銚、謂之臿。不謂之錢。而錢以爲貨泉之名。 ‖ 周頌臣工文。卽淺切。十四部。 ‖ 大徐無此四字。按貝部下曰。古者貨貝而寶龜。周而有泉。至秦廢貝行錢。檀弓注曰。古者謂錢曰泉布。周禮泉府注、鄭司農云。故書泉或作錢。外府注云。其藏曰泉。其行曰布。取名於水泉。其流行無不遍。周語。景王二十一年。將鑄大錢。韋曰。古曰泉。後轉曰錢。玉裁謂秦漢乃叚借錢爲泉。周禮、國語早有錢字。是其來已久。錢行而泉廢矣。昨先切。或曰此不當有一曰貨也四字。貝下當云至秦廢貝行泉。王莽時錢文尙曰大泉五十、曰貨泉。
19,youwen,戔,䧖,聲,水𨸏也。从𨸏戔聲。,9661,慈衍切,,,,none,none,,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)",,mc_none,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,慈衍切。十四部。
20,youwen,戔,醆,聲,爵也。一曰酒濁而微清也。从酉戔聲。,9785,阻限切,莊開二山上,阻限,tsreanX,identical_fanqie,high,莊開二山上 阻限切 tsreanX | 章開三仙上 旨善切 tsyenX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",E,,,"Claude (first pass, unverified)","""小杯""义出后世训诂，说文仅""爵也""",duan_rhyme_missing,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,
21,youwen,侖,侖,phonetic_head,思也。从亼从冊。,3256,力屯切,來合三真平,力迍,lwin,initial+rhyme+tone,high,來合三真平 力迍切 lwin,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十三部,十三部,倫論字皆以侖會意,按論者、侖之假借,条理、次第,"段注""侖""下""倫論字皆以侖會意""、""論""下""論以侖會意""、""輪""下""輪之言倫也""",H,,,"Claude (first pass, unverified)","""思也""，段注据""龠""下""侖，理也""",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,龠下曰。侖、理也。大雅毛傳曰。論、思也。按論者、侖之假借。思與理、義同也。思猶䚡也。凡人之思必依其理。倫論字皆以侖會意。 ‖ 聚集𥳑𠕋必依其次第。求其文理。力屯切。十三部。 ‖ 古文𠕋作？。
22,youwen,侖,論,聲,議也。从言侖聲。,1507,盧昆切,來合一魂平,盧昆,lwon,identical_fanqie,high,來合三真平 力迍切 lwin | 來合一魂平 盧昆切 lwon | 來合一魂去 盧困切 lwonH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十三部,十三部,論以侖會意 / 故孔門師弟子之言謂之論語 / 當云从言侖、侖亦聲,詩於論正侖之假借,条理、次第,"段注""侖""下""倫論字皆以侖會意""、""論""下""論以侖會意""、""輪""下""輪之言倫也""",E,,,"Claude (first pass, unverified)","""議也""；段注主张""論以侖會意""",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,論以侖會意。亼部曰。侖。思也。龠部曰。侖、理也。此非㒳義。思如玉部䚡理、自外可以知中之䚡。靈臺。於論𡔷鍾。毛曰。論、思也。此正許所本。詩於論正侖之假借。凡言語循其理、得其宜謂之論。故孔門師弟子之言謂之論語。皇侃依俗分去聲平聲異其解。不知古無異義。亦無平去之别也。王制。凡制五㓝。必卽天論。周易。君子以經論。中庸。經論天下之大經。皆謂言之有倫有脊者。許云。論者、議也。議者、語也。似未盡。 ‖ 當云从言侖、侖亦聲。盧昆切。十三部。
23,youwen,侖,棆,聲,毋杶也。从木侖聲。讀若《易》卦屯。,3422,陟倫切,來合三真平,力迍,lwin,rhyme+tone_only,medium,來合三真平 力迍切 lwin,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十三部,十三部,,,条理、次第,"段注""侖""下""倫論字皆以侖會意""、""論""下""論以侖會意""、""輪""下""輪之言倫也""",X,,,"Claude (first pass, unverified)",木名,proper_name_excluded,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,按母杶當作毋疵。皆字之誤也。釋木。榆、無疵。古毋無通用。故許作毋。玉篇。棆、木名也。𣐑、無𣐑木也。二字爲伍。葢謂一物也。廣韵云。無𣐑木一名棆。是也。楊雄蜀都賦說木有𣐑。郭云。棆、楩屬。似豫章。 ‖ 陟倫切。十三部。
24,youwen,侖,倫,聲,輩也。从人侖聲。一曰道也。,5014,田屯切,來合三真平,力迍,lwin,rhyme+tone_only,medium,來合三真平 力迍切 lwin,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十三部,十三部,,引伸之同類之次曰輩,条理、次第,"段注""侖""下""倫論字皆以侖會意""、""論""下""論以侖會意""、""輪""下""輪之言倫也""",Y,,,"Claude (first pass, unverified)","""輩也""，次第",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,軍發車百兩爲輩。引伸之同類之次曰輩。鄭注曲禮、樂記曰。倫猶類也。注卽夕曰。比也。注中庸曰。猶比也。 ‖ 力屯切。十三部。 ‖ 小雅。有倫有脊。傳曰。倫道、脊理也。論語。言中倫。包注。倫、道也。理也。按粗言之曰道。精言之曰理。凡注家訓倫爲理者。皆與訓道者無二。
25,youwen,侖,崙,聲,崑崙也。从山侖聲。,5882,盧昆切,,,,none,none,,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,,十三部,,,条理、次第,"段注""侖""下""倫論字皆以侖會意""、""論""下""論以侖會意""、""輪""下""輪之言倫也""",X,,,"Claude (first pass, unverified)",崑崙,mc_none;duan_rhyme_missing;proper_name_excluded,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,
