sw_id	char	reading	pdf	pdf_page	half	leaf	quote	confidence	note
1789	鞣	聲	n2.pdf	26	right	006-2b	耎也從革柔聲	high	plain 柔聲, no 從柔/亦; 臣鍇曰皮革之柔耎也然尤反
2125	𢌨	亦聲	n2.pdf	48	left	007-3a	相顧視而行從目從㢟㢟亦聲	high	no 也 after 行; 㢟 printed in a 延-like form; fanqie 余羡反
2225	齅	亦聲	n2.pdf	54	right	007-8b	以鼻就臭也從鼻臭臭亦聲讀若畜牲之畜	high	only one 從 (從鼻臭); 臣鍇曰此會意香秀反. Leaf is 8b (fold on p54 left reads 九); digital anchors 10a/10b are about 2 leaves off
2230	奭	亦聲	n2.pdf	54	right	007-8b	盛也從大從皕皕亦聲此燕召公名讀若郝史篇名醜	high	臣鍇曰史篇謂史籀所作蒼頡十五篇也希式反
2351	瞿	亦聲	n2.pdf	62	left	007-17a	鷹隼之視也從隹䀠亦聲凡瞿之屬皆從瞿讀若章句之句又音衢	high	only one 從 and 䀠 written once (從隹䀠亦聲); 臣鍇曰驚視也禮曰見似目瞿會意九遇反. Anchors 15a/15b are loose; fold reads 十七
2984	筑	亦聲	n3.pdf	9	left	009-7a	以竹曲五絃之樂也從竹巩從巩持之也從竹亦聲	high	note wording 從竹巩從巩持之也 and 從竹亦聲 (not 竹亦聲 alone); 臣鍇按史記高漸離擊…
3024	𤯌	亦聲	n3.pdf	13	right	009-10b	和也麻調也從甘麻甘亦聲讀若函	high	厤 printed as a 麻-like glyph (headword has 厤); only one 從 (從甘麻); 臣鍇曰麻… Leaf 10b by juan start (juan 9 1a = p3 left); anchors 11a/11b are about 1 leaf off
8109	娣	聲	n6.pdf	60	left	024-3a	女弟也從女弟声	high	plain 弟声 (the page uses the short form 声), no 亦; fanqie 笛計反, no 臣鍇. Leaf 3a (juan 24 1a = p58 left); anchors 2a/2b are about 1 leaf off
8381	匹	亦聲	n6.pdf	73	left	024-16a	四丈也從匸八八揲一匹八亦声	high	臣鍇曰會意篇七反; 声 short form. Leaf 16a (fold 十六); anchors 14a/14b are about 2 leaves off
9156	黃	聲	n7.pdf	30	left	026-10a	地之色也从田炗声炗古文光也凡黃之屬皆從黃	high	plain 炗声 with 从田 (only one component marker), no 亦; no 臣鍇, fanqie 戶荒反. Juan 26 1a = p21 left
1437	舌	亦聲	n2.pdf	4	right	005-1b	在口所以言也別味也從干口于亦聲凡舌之屬皆從舌	medium	Juan 5 (1a = n2 p3 left); the phonetic before 亦聲 is printed like 于 (probably a form of 干, possibly a misprint); Da Xu 从干从口 appears as 從干口 with one 從
1995	整	亦聲	n2.pdf	40	left	006-17a	齊也從攴從束正亦聲	high	Written 從攴從束正亦聲 with no 從 before 正; 臣鍇曰束之又小擊之使正會意. Juan 6 1a = n2 p24 left (TOC page 23 is one page off); p40 left is 17a, and the 版心 shows 七
1998	政	聲	n2.pdf	40	left	006-17a	正也從攴正聲	high	Da Xu 从攴从正正亦聲; Xiao Xu has 從攴正聲. The last column of 17a runs 正也從攴正 / 聲臣鍇曰政…
2029	敡	亦聲	n2.pdf	42	right	006-18b	侮也從攴從易易亦聲	high	臣鍇曰輕易之也 列義反
2032	𣀆	無聲	n2.pdf	42	right	006-18b	朋侵也從攴羣	high	No 聲 at all: 朋侵也從攴羣 is followed directly by 臣鍇曰史云羣盜此意也 其分反 (read as 會意)
2075	甫	亦聲	n2.pdf	44	left	006-21a	男子美稱從用父父亦聲	high	No 也 after 稱; 臣鍇曰男子之美稱言用也父者老也會意 分武反. Last text leaf of juan 6; juan 7 starts on p46
3177	阱	亦聲	n3.pdf	26	right	010-2b	陷也從𨸏井井亦聲	high	𨸏 is printed in the 𠂤 form; 臣鍇曰𨸏其岸會意也 從性反. Juan 10 1a = n3 p24 left; the 版心 on p25 shows 二
3178	㓝	聲	n3.pdf	26	right	010-2b	罰皐也從刀井易曰井法也井聲	high	Da Xu 从井从刀…井亦聲; Xiao Xu has 從刀井 … 井聲 with no 亦. 辠 is printed as 皐. 臣鍇曰通論…
3218	饗	亦聲	n3.pdf	28	left	010-5a	鄉人飲酒也從鄉從食鄉亦聲	high	臣鍇曰會意 忻岡反
3261	䢈	亦聲	n3.pdf	30	left	010-7a	日月合宿為辰從會辰辰亦聲	high	為辰 in place of Da Xu 从辰; 臣鍇曰春秋左傳曰日月所會謂之辰…會意 石倫反. By the scan count this is 7a, not the 6a/6b of the digital anchors
4325	圅	亦聲	n4.pdf	38	right	013-12b	舌也象形舌體𢎘𢎘亦聲	high	𢎘 is printed in a 弓-like form and 聲 as 声; Da Xu's 𢎘从𢎘 is absent; 臣鍇曰…當依篆作…. Juan 13 1a = n4 p26 left
5742	㖃	亦聲	n5.pdf	30	right	017-9b	厚怒聲從口后后亦聲	high	聲 is printed 声; 臣鍇曰東方朔十洲記… 蒿厚反. Juan 17 1a = n5 p21 left; the 版心 shows 九
5782	匌	聲	n5.pdf	32	left	017-12a	帀也從勹合聲	high	No 臣鍇 commentary; the text is 帀也從勹合 / 声 後閤反. Da Xu 从勹从合合亦聲
9405	鍒	聲	n7.pdf	41	right	027-8b	鐵之耎也從金柔聲	high	Gloss is printed 鐵之耎也 (Da Xu 𨮯之耎也); 从 and 声 are printed in these forms; no 臣鍇; 然尤反. It is among the last entries of 金部, just before 文百九十七. Juan 27 1a = n7 p33 left
