sw_id,char,phonetic,in_analysis_set,daxu_gloss,xiaoxu_reading,unknown_reason,layer,round,xiaoxu_juan,xiaoxu_quote,note
757,犓,芻,True,以芻莖養牛也。从牛、芻，芻亦聲。《春秋國語》曰：“犓豢幾何。”,亦聲,,both,round2,3,以芻莖飬牛也从牛芻芻亦聲,
765,㹂,臤,True,牛很不從引也。从牛从臤，臤亦聲。一曰大皃。讀若賢。,亦聲,,both,round2,3,牛狠不从引也从牛臤臤亦聲,
974,單,吅,True,大也。从吅、红，吅亦聲。闕。,亦聲,,both,round1,,大也从吅卑吅亦聲闕,
977,喪,亾,True,亾也。从哭从亾。會意。亾亦聲。,聲,,daxu_only,round2,3,亡也从哭云聲,云疑亾之譌；無亦字
1092,迹,亦,False (亦 false hit),步處也。从辵亦聲。,聲,,daxu_only,round2,4,歩處也从辵亦聲,亦本身為聲符，與大徐同文
1130,遌,㖾,True,相遇驚也。从辵从㖾，㖾亦聲。,亦聲,,both,round1,,相遇驚也从辵㖾㖾亦聲,
1140,返,反,True,還也。从辵从反，反亦聲。《商書》曰：“祖甲返。”,亦聲,,both,round1,,還也从辵反反亦聲啇書曰祖甲返,
1142,選,巽,True,遣也。从辵、巽，巽遣之；巽亦聲。一曰選，擇也。,亦聲,,both,round1,,遣也从辵巽巽遣之巽亦聲一曰選擇也,
1226,𢔟,柔,True,復也。从彳从柔，柔亦聲。,亦聲,,both,round1,,復也从彳柔柔亦聲,
1313,齨,臼,True,老人齒如臼也。一曰馬八歲齒臼也。从齒从臼，臼亦聲。,聲,,daxu_only,round2,4,老人齒如□从齒□聲馬八歳齒□也,□聲，無亦；□當作臼
1318,䶤,骨,True,齧骨聲。从齒从骨，骨亦聲。,聲,,daxu_only,round2,4,齧骨聲从齒骨聲,no 亦; no 从骨
1323,𤘌,奇,True,武牙也。从牙从奇，奇亦聲。,亦聲,,both,round2,4,武牙也从牙竒竒亦聲,竒=奇
1418,𤴙,疋,True,門戶疏䆫也。从疋，疋亦聲。囪象𤴙形。讀若疏。,無聲,,daxu_only,round2,4,門户䟽窓也从疋囱囱象形,無疋亦聲；下條𤕟作疋亦聲
1419,𤕟,疋,True,通也。从爻从疋，疋亦聲。,亦聲,,both,round2,4,通也徔爻疋亦聲,作从爻疋，無从疋；後接卷5
1437,舌,干,True,在口，所以言也、別味也。从干从口，干亦聲。凡舌之屬皆从舌。,亦聲,,both,round3_scan,4/5,在口所以言也別味也從干口于亦聲凡舌之屬皆從舌,"Juan 5 (1a = n2 p3 left); the phonetic before 亦聲 is printed like 于 (probably a form of 干, possibly a misprint); Da Xu 从干从口 appears as 從干口 with one 從 [扫描 n2.pdf p4 right 005-1b]"
1451,拘,句,True,止也。从句从手，句亦聲。,亦聲,,both,round1,,止也从句手句亦聲,
1452,笱,句,True,曲竹捕魚笱也。从竹从句，句亦聲。,亦聲,,both,round1,,曲竹捕魚笱从竹句句亦聲,
1453,鉤,句,True,曲也。从金从句，句亦聲。,亦聲,,both,round2,5,曲也従金句句亦聲,
1455,𦱠,丩,True,艸之相丩者。从茻从丩，丩亦聲。,亦聲,,both,round1,,艸之相丩者从茻丩丩亦聲,
1477,詵,先,True,致言也。从言从先，先亦聲。《詩》曰：“螽斯羽詵詵兮。”,亦聲,,both,round1,,致言也从言先先亦聲詩曰螽斯羽詵詵兮,
1526,詔,召,True,告也。从言从召，召亦聲。,亦聲,疑据大徐补入,unknown,round2,5,告也从言从召召亦聲,"反切作""之紹切""（小徐通例作""反""），疑此条据大徐补入"
1550,警,敬,True,戒也。从言从敬，敬亦聲。,亦聲,,both,round1,,戒也从言敬敬亦聲,
1553,𧧼,宜,True,人所宜也。从言从宜，宜亦聲。,亦聲,,both,round2,5,人所冝也从言宜亦聲也,
1633,𧥣,口,True,扣也。如求婦先𧥣叕之。从言从口，口亦聲。,亦聲,,both,round3_scan,5,扣也如求婦先𧥣叕之從言口口亦聲,"口亦 at column foot, 聲 at top of next column; 臣鍇曰頻繁哀求之意…猆走反. Found on 13a (fold 十三); digital anchors 11b/14a are loose [扫描 n2.pdf p15 left 005-13a]"
1724,謎,迷,False,隱語也。从言、迷，迷亦聲。,未找到,新附,unknown,round2,5,-,大徐新附字，小徐無
1745,菐,廾,True,瀆菐也。从丵从廾，廾亦聲。凡菐之屬皆从菐。,亦聲,,both,round3_scan,5,瀆菐也從丵從廾廾亦聲凡菐之屬皆從菐,臣鍇曰瀆菐瀆也兩手捧持丵叢雜也 [扫描 n2.pdf p21 right 005-18b]
1746,僕,菐,True,給事者。从人从菐，菐亦聲。,亦聲,,both,round3_scan,5,給事者從人從菐菐亦聲,same half-leaf as 菐; 臣鍇按春秋左傳… [扫描 n2.pdf p21 right 005-18b]
1747,𠔯,八,True,賦事也。从菐从八。八，分之也。八亦聲。讀若頒。一曰讀若非。,亦聲,,both,round1,,賦事也从菐从八八分之也八亦聲讀若頒一曰讀若非,
1763,弈,亦,False (亦 false hit),圍棊也。从廾亦聲。《論語》曰：“不有博弈者乎！”,亦聲,,both,round1,,圍棊也从亦聲論語曰不有博弈者乎,
1766,樊,棥,True,鷙不行也。从𠬜从棥，棥亦聲。,亦聲,,both,round2,5,鷙不行也从□棥亦聲,□ is the 𠬜 radical; no 从棥
1778,䢅,辰,True,早昧爽也。从𦥑从辰。辰，時也。辰亦聲。𠃨夕爲𡖊，臼辰爲䢅，皆同意。凡䢅之屬皆从䢅。,亦聲,,both,round2,6,早昧爽也从臼辰辰時也亦聲,同大徐，亦聲前不重出辰
1782,釁,分,True,血祭也。象祭竈也。从爨省，从酉。酉，所以祭也。从分，分亦聲。,亦聲,,both,round3_scan,6,血祭也象祭竈也從爨省酉酉所以祭也從分分亦聲,"no 從 before 酉 (從爨省酉); 爨部 opens juan 6 here (juan 6 1a = p24 left), not juan 5; 臣鍇曰酉酒也分分牲也許僅反 [扫描 n2.pdf p25 left 006-2a]"
1789,鞣,柔,True,耎也。从革从柔，柔亦聲。,聲,,daxu_only,round3_scan,6,耎也從革柔聲,"plain 柔聲, no 從柔/亦; 臣鍇曰皮革之柔耎也然尤反 [扫描 n2.pdf p26 right 006-2b]"
1798,䩡,夾,True,鞮䩡沙也。从革从夾，夾亦聲。,亦聲,,both,round2,6,鞮䩡沙也从革从夾夾亦聲,
1915,𠭥,祟,True,楚人謂卜問吉凶曰𠭥。从又持祟，祟亦聲。讀若贅。,無聲,,daxu_only,round1,,楚人謂卜問吉凶曰从又持祟讀若贅,
1995,整,正,True,齊也。从攴从束从正，正亦聲。,亦聲,,both,round3_scan,6,齊也從攴從束正亦聲,"Written 從攴從束正亦聲 with no 從 before 正; 臣鍇曰束之又小擊之使正會意. Juan 6 1a = n2 p24 left (TOC page 23 is one page off); p40 left is 17a, and the 版心 shows 七 [扫描 n2.pdf p40 left 006-17a]"
1998,政,正,True,正也。从攴从正，正亦聲。,聲,,daxu_only,round3_scan,6,正也從攴正聲,Da Xu 从攴从正正亦聲; Xiao Xu has 從攴正聲. The last column of 17a runs 正也從攴正 / 聲臣鍇曰政… [扫描 n2.pdf p40 left 006-17a]
2019,㪉,合,True,合會也。从攴从合，合亦聲。,聲,,daxu_only,round2,6,合會也从攴合聲,
2029,敡,易,True,侮也。从攴从易，易亦聲。,亦聲,,both,round3_scan,6,侮也從攴從易易亦聲,臣鍇曰輕易之也 列義反 [扫描 n2.pdf p42 right 006-18b]
2032,𣀆,羣,True,朋侵也。从攴从羣，羣亦聲。,無聲,,daxu_only,round3_scan,6,朋侵也從攴羣,No 聲 at all: 朋侵也從攴羣 is followed directly by 臣鍇曰史云羣盜此意也 其分反 (read as 會意) [扫描 n2.pdf p42 right 006-18b]
2034,𢿳,𤔔,True,煩也。从攴从𤔔，𤔔亦聲。,聲,,daxu_only,round2,6,煩也从攴□聲,□當即𤔔；無亦
2041,鼓,壴,True,擊鼓也。从攴从壴，壴亦聲。,亦聲,,both,round2,6,撃皷也从攴壴壴亦聲,臣鍇亦云故云亦聲此㑹意
2075,甫,父,True,男子美稱也。从用、父，父亦聲。,亦聲,,both,round3_scan,6/7,男子美稱從用父父亦聲,No 也 after 稱; 臣鍇曰男子之美稱言用也父者老也會意 分武反. Last text leaf of juan 6; juan 7 starts on p46 [扫描 n2.pdf p44 left 006-21a]
2125,𢌨,㢟,True,相顧視而行也。从目从㢟，㢟亦聲。,亦聲,,both,round3_scan,7,相顧視而行從目從㢟㢟亦聲,no 也 after 行; 㢟 printed in a 延-like form; fanqie 余羡反 [扫描 n2.pdf p48 left 007-3a]
2169,瞑,冥,True,翕目也。从目、冥，冥亦聲。,亦聲,,both,round2,7,翕目也从目冥冥亦聲,
2185,眇,少,True,一目小也。从目从少，少亦聲。,亦聲,,both,round1,,一目小也从目少亦聲,
2225,齅,臭,True,以鼻就臭也。从鼻从臭，臭亦聲。讀若畜牲之畜。,亦聲,,both,round3_scan,7,以鼻就臭也從鼻臭臭亦聲讀若畜牲之畜,only one 從 (從鼻臭); 臣鍇曰此會意香秀反. Leaf is 8b (fold on p54 left reads 九); digital anchors 10a/10b are about 2 leaves off [扫描 n2.pdf p54 right 007-8b]
2230,奭,皕,True,盛也。从大从皕，皕亦聲。此燕召公名。讀若郝。《史篇》名醜。,亦聲,,both,round3_scan,7,盛也從大從皕皕亦聲此燕召公名讀若郝史篇名醜,臣鍇曰史篇謂史籀所作蒼頡十五篇也希式反 [扫描 n2.pdf p54 right 007-8b]
2281,雊,句,True,雄雌鳴也。雷始動，雉鳴而雊其頸。从隹从句，句亦聲。,亦聲,,both,round1,,雌雉鳴也雷始動雉鳴而鴝其頸从隹句句亦聲,
2287,𨿳,人,True,鳥也。从隹，瘖省聲。或从人，人亦聲。,亦聲,,both,round1,,鳥也从隹瘖省聲或从人人亦聲,
2321,𤊾,𥄕,True,火不明也。从𥄕从火，𥄕亦聲。《周書》曰：“布重𤊾席。”織蒻席也。讀與蔑同。,亦聲,,both,round1,,大不明也从苜火苜亦聲周書曰布重席織蒻席也讀與蔑同,
2347,羌,羊,True,西戎牧羊人也。从人从羊，羊亦聲。南方蠻閩从虫，北方狄从犬，東方貉从豸，西方羌从羊：此六種也。西南僰人、僬僥，从人；蓋在坤地，頗有順理之性。唯東夷从大。大，人也。夷俗仁，仁者壽，有君子不死之國。孔子曰：“道不行，欲之九夷，乘桴浮於海。”有以也。,亦聲,,both,round1,,西戎从羊人也从人从羊羊亦聲南方蠻閩从虫北方狄从犬東方貉从豸西方羗从羊此六種也西南𤏡人僬僥从人蓋在坤地頗有順理之性惟東夷从大大人也夷俗仁仁者夀有君子不死之國孔子曰道不行欲之九夷秉桴浮於海以也,
2351,瞿,䀠,True,鷹隼之視也。从隹从䀠，䀠亦聲。凡瞿之屬皆从瞿。讀若章句之句。,亦聲,,both,round3_scan,7,鷹隼之視也從隹䀠亦聲凡瞿之屬皆從瞿讀若章句之句又音衢,only one 從 and 䀠 written once (從隹䀠亦聲); 臣鍇曰驚視也禮曰見似目瞿會意九遇反. Anchors 15a/15b are loose; fold reads 十七 [扫描 n2.pdf p62 left 007-17a]
2492,幽,𢆶,True,隱也。从山中𢆶，𢆶亦聲。,亦聲,,both,round3_scan,8,隱也從山中𢆶𢆶亦聲,Printed 𢆶 as 丝-like form. 臣鍇曰山中隱處 伊虬反. [扫描 n2.pdf p71 left 008-2a]
2494,叀,屮,True,專小謹也。从幺省；屮，財見也；屮亦聲。凡叀之屬皆从叀。,亦聲,,both,round3_scan,8,專小謹也從幺省屮財見也屮亦聲凡叀之屬皆從叀,屮 printed as 中-like form. 臣鍇曰叀專也幺小子也… [扫描 n2.pdf p72 right 008-2b]
2501,舒,予,True,伸也。从舍从予，予亦聲。一曰舒，緩也。,聲,,daxu_only,round1,,伸也从舍予聲一曰舒緩也,
2518,𠭘,井,True,坑也。从𣦼从井，井亦聲。,亦聲,,both,round3_scan,8,坑地從𣦼井井亦聲,"Printed 坑地 (Da Xu 坑也), and 從𣦼井, not 從𣦼從井. 臣鍇曰陷穽也會意 從性反. [扫描 n2.pdf p74 right 008-4b]"
2533,殯,賓,True,死在棺，將遷葬柩，賓遇之。从歺从賓，賓亦聲。夏后殯於阼階，殷人殯於兩楹之閒，周人殯於賓階。,亦聲,,both,round1,,死在棺將遷葬柩賔遇之从歺賔賔亦聲夏后殯於阼階殷人殯於兩楹之間周人殯於賔階,
2694,腥,星,True,星見食豕，令肉中生小息肉也。从肉从星，星亦聲。,亦聲,,both,round3_scan,8,星見食豕令肉中生小息肉也從肉星星亦聲,"The seal headword is at the foot of the last column of 13a (p82 left). The 說解 is in the first column of 13b (p83 right). The formula reads 從肉星, not 從肉從星. 臣鍇按禮曰豕望視而交睫腥… [扫描 n2.pdf p83 right 008-13b]"
2726,腔,空,False,内空也。从肉从空，空亦聲。,未找到,新附,unknown,round2,8,,脧腔一段不見
2765,剝,录,True,裂也。从刀从录。录，刻割也。录亦聲。,聲,,daxu_only,round2,8,裂也从刀录聲一曰录剋割也,
2768,劃,畫,True,錐刀曰劃。从刀从畫，畫亦聲。,亦聲,,both,round2,8,錐刀也从刀畫畫亦聲,
2771,劑,齊,True,齊也。从刀从齊，齊亦聲。,聲,,daxu_only,round1,,齊也从刀齊聲,
2794,刺,朿,True,君殺大夫曰刺。刺，直傷也。从刀从朿，朿亦聲。,亦聲,,both,round3_scan,8,君殺大夫曰刺刺直傷也從刀從朿朿亦聲,朿 is printed in a 東-like form. No 臣鍇 commentary; the fanqie 七賜反 follows. [扫描 n2.pdf p87 right 008-17b]
2984,筑,竹,True,以竹曲五弦之樂也。从竹从𢀜。𢀜，持之也。竹亦聲。,亦聲,,both,round3_scan,9,以竹曲五絃之樂也從竹巩從巩持之也從竹亦聲,note wording 從竹巩從巩持之也 and 從竹亦聲 (not 竹亦聲 alone); 臣鍇按史記高漸離擊… [扫描 n3.pdf p9 left 009-7a]
2989,簺,塞,True,行棊相塞謂之簺。从竹从塞，塞亦聲。,亦聲,,both,round1,,行棊相塞謂之簺从竹塞塞亦聲,
3006,䢋,丌,True,古之遒人，以木鐸記詩言。从辵从丌，丌亦聲。讀與記同。,亦聲,,both,round1,,古之道人以木鐸記詩言从辵从丌丌亦聲讀與記同,
3024,𤯌,甘,True,和也。从甘从麻。麻，調也。甘亦聲。讀若函。,亦聲,,both,round3_scan,9,和也麻調也從甘麻甘亦聲讀若函,厤 printed as a 麻-like glyph (headword has 厤); only one 從 (從甘麻); 臣鍇曰麻… Leaf 10b by juan start (juan 9 1a = p3 left); anchors 11a/11b are about 1 leaf off [扫描 n3.pdf p13 right 009-10b]
3028,𣆑,冊,True,告也。从曰从冊，冊亦聲。,無聲,,daxu_only,round2,9,告也从册曰,commentary: 㑹意
3041,可,丂,True,𦘫也。从口丂，丂亦聲。凡可之屬皆从可。,亦聲,,both,round2,9,肎也从口亦聲也,"缺丂字：作""从口亦聲"""
3055,𠮱,亏,True,驚語也。从口从亏，亏亦聲。,亦聲,,both,round1,,驚語也从口从亏亏亦聲,
3060,憙,喜,True,說也。从心从喜，喜亦聲。,亦聲,,both,round1,,恱也从心喜喜亦聲,
3078,愷,豈,True,康也。从心、豈，豈亦聲。,亦聲,,both,round2,9,康也从心豈豈亦聲,卷20心部另有康也从心豈聲
3092,𧈚,㿾,True,器也。从䖒、㿾，㿾亦聲。闕。,亦聲,,both,round2,9,器也从䖒㿾㿾亦聲,
3168,主,丶,True,鐙中火主也。从纹，象形。从丶，丶亦聲。,亦聲,,both,round1,,鐙中火主也从象形从丨丨亦聲,
3169,咅,否,True,相與語，唾而不受也。从丶从否，否亦聲。,亦聲,,both,round1,,相與語唾而不受也从否从丨否亦聲,
3177,阱,井,True,陷也。从𨸏从井，井亦聲。,亦聲,,both,round3_scan,10,陷也從𨸏井井亦聲,𨸏 is printed in the 𠂤 form; 臣鍇曰𨸏其岸會意也 從性反. Juan 10 1a = n3 p24 left; the 版心 on p25 shows 二 [扫描 n3.pdf p26 right 010-2b]
3178,㓝,井,True,罰辠也。从井从刀。《易》曰：“井，法也。”井亦聲。,聲,,daxu_only,round3_scan,10,罰皐也從刀井易曰井法也井聲,Da Xu 从井从刀…井亦聲; Xiao Xu has 從刀井 … 井聲 with no 亦. 辠 is printed as 皐. 臣鍇曰通論… [扫描 n3.pdf p26 right 010-2b]
3218,饗,鄉,True,鄉人飲酒也。从食从鄉，鄉亦聲。,亦聲,,both,round3_scan,10,鄉人飲酒也從鄉從食鄉亦聲,臣鍇曰會意 忻岡反 [扫描 n3.pdf p28 left 010-5a]
3246,餽,鬼,True,吳人謂祭曰餽。从食从鬼，鬼亦聲。,亦聲,,both,round2,10,呉人謂祭曰餽从食鬼鬼亦聲,
3261,䢈,辰,True,日月合宿从辰。从會从辰，辰亦聲。,亦聲,,both,round3_scan,10,日月合宿為辰從會辰辰亦聲,"為辰 in place of Da Xu 从辰; 臣鍇曰春秋左傳曰日月所會謂之辰…會意 石倫反. By the scan count this is 7a, not the 6a/6b of the digital anchors [扫描 n3.pdf p30 left 010-7a]"
3365,舜,舛,True,艸也。楚謂之葍，秦謂之藑。蔓地連華。象形。从舛，舛亦聲。凡䑞之屬皆从䑞。(今隸變作舜。),亦聲,,both,round1,,艸也楚謂之葍秦謂之藑蔓地連華象形从舛亦聲凡䑞之屬皆从䑞,
3652,柵,冊,True,編樹木也。从木从冊，冊亦聲。,聲,,daxu_only,round2,11,編樹木从木冊聲,
3786,枰,平,True,平也。从木从平，平亦聲。,聲,,daxu_only,round3_scan,11,平也從木平聲,"Juan 11 starts at PDF p42 (left), so the TOC page is off by one. 樔 is at 27a (p68 left); 枰 is the last column of 27b. The 臣鍇 commentary continues on 28a ('今謂碁局為枰亦言上平也…') and has no 亦聲 remark. [扫描 n3.pdf p69 right 011-27b]"
3802,杽,手,True,械也。从木从手，手亦聲。,亦聲,,both,round1,,械也从木手手亦聲,
3850,糶,䊮,True,出穀也。从出从䊮，䊮亦聲。,亦聲,疑据大徐补入,unknown,round3_scan,12,出穀也從出從䊮䊮亦聲,"扫描本反切作""他弔切""（小徐通例作""反""），疑此条据大徐补入"
3967,貧,分,True,財分少也。从貝从分，分亦聲。,聲,,daxu_only,round1,,財分少也从貝分聲,
3998,鄯,善,True,鄯善，西胡國也。从邑从善，善亦聲。,亦聲,,both,round1,,鄯善西胡國也从邑善善亦聲,
4189,晛,見,True,日見也。从日从見，見亦聲。《詩》曰：“見晛曰消。”,亦聲,,both,round2,13,日見也从日見見亦聲,
4248,晬,卒,False,周年也。从日、卒，卒亦聲。,未找到,新附,unknown,round2,13,-,大徐新附字，小徐無
4280,旄,毛,True,幢也。从㫃从毛，毛亦聲。,聲,,daxu_only,round1,,幢也从㫃毛聲,
4325,圅,𢎘,True,舌也。象形。舌體𢎘。𢎘从𢎘，𢎘亦聲。,亦聲,,both,round3_scan,13,舌也象形舌體𢎘𢎘亦聲,𢎘 is printed in a 弓-like form and 聲 as 声; Da Xu's 𢎘从𢎘 is absent; 臣鍇曰…當依篆作…. Juan 13 1a = n4 p26 left [扫描 n4.pdf p38 right 013-12b]
4329,𣐺,𢎘,True,木垂華實。从木、𢎘，𢎘亦聲。凡𣐺之屬皆从𣐺。,亦聲,,both,round2,13,木垂華實也从木□□亦聱,□代𢎘；聱當作聲
4634,窞,臽,True,坎中小坎也。从穴从臽，臽亦聲。《易》曰：“入于坎窞。”一曰㫄入也。,亦聲,,both,round3_scan,14,坎中小坎也從穴從臽臽亦声易曰入于坎窞一曰旁入也,Juan 14 1a = p54 left. 窳 is at 8b (p62 right). The digital leaf ids run about 1 to 2 leaves low. [扫描 n4.pdf p62 left 014-9a]
4640,竀,正,True,正視也。从穴中正見也，正亦聲。,亦聲,,both,round3_scan,14,正視也從穴中正見正亦声,Same half-leaf as 窞. [扫描 n4.pdf p62 left 014-9a]
4726,瘧,虐,True,熱寒休作。从疒从虐，虐亦聲。,亦聲,,both,round3_scan,14,寒熱休作病從疒虐虐亦声,"Printed as 從疒虐, with no second 從. 痟 is at 13a (p66 left). [扫描 n4.pdf p67 right 014-13b]"
4776,冠,元,True,絭也。所以絭髮，弁冕之緫名也。从冂从元，元亦聲。冠有法制，从寸。,亦聲,,both,round1,,絭也所以絭髪弁冕之惣名从冂元元亦聲冠有法制从寸,
4777,冣,取,True,積也。从冂从取，取亦聲。,亦聲,,both,round1,,積也从冂取取亦聲,
4789,兩,㒳,True,二十四銖爲一兩。从一；㒳，平分，亦聲。,亦聲,,both,round1,,二十四銖為一兩从一从㒳兩平分也㒳亦聲,
4794,𦌾,繯,True,网也。从网、繯，繯亦聲。一曰綰也。,亦聲,,both,round1,,网也从网繯繯亦聲也一曰綰也,
4804,羀,畱,True,曲梁寡婦之笱。魚所畱也。从网、畱，畱亦聲。,聲,,daxu_only,round1,,曲梁寡婦之笱魚所畱也从网畱聲,
4896,帟,亦,False (亦 false hit),在上曰帟。从巾亦聲。,未見,扫描本未见,unknown,round3_scan,14,,"Checked the whole 巾部 from its start at 20b (p74 right) to its end ('文六十四 重八', 23b, p77 right). No 帟 headword was found. 席 is at 23a (p76 left), followed by 幐, 幩, 幝, and so on. 幕 on 22a reads '帷在上曰幕', which is close to the Da Xu 帟 gloss 在上曰帟. Headwords on p74 left and p75 right were read at 150 dpi only. [扫描 n4.pdf p74-77  014-20b..023b]"
4919,敝,㡀,True,帗也。一曰敗衣。从攴从㡀，㡀亦聲。,亦聲,,both,round3_scan,14,帗也一曰敗衣也從攴㡀㡀亦声,"Printed as 從攴㡀, with no second 從. There is no 臣鍇 commentary; the fanqie 毗制反 follows. [扫描 n4.pdf p78 left 014-25a]"
4944,仲,中,True,中也。从人从中，中亦聲。,亦聲,,both,round3_scan,15,中也從人中中亦声,"Juan 15 1a = p79 left. The fanqie 直控反 follows, with no commentary. [扫描 n4.pdf p81 right 015-2b]"
5030,傾,頃,True,仄也。从人从頃，頃亦聲。,亦聲,,both,round3_scan,15,仄也從人從頃頃亦声,The fanqie is 去營切. The preceding 侍 is printed '承也從人從寺' with no 聲. [扫描 n4.pdf p85 left 015-7a]
5141,係,系,True,絜束也。从人从系，系亦聲。,聲,,daxu_only,round2,15,絜束也从人系聲,
5157,像,象,True,象也。从人从象，象亦聲。讀若養。,無聲,,daxu_only,round3_scan,15,象也從人象讀若養字之養,"Printed as 從人象, with no 聲 at all. 臣鍇 commentary follows: 按尚書曰崇德象賢… [扫描 n4.pdf p91 right 015-12b]"
5164,僊,䙴,True,長生僊去。从人从䙴，䙴亦聲。,聲,,daxu_only,round2,15,長生者僊去也从人䙴聲,
5179,儈,會,False,合市也。从人、會，會亦聲。,未找到,新附,unknown,round2,15,,人部此段不見
5180,低,氐,False,下也。从人、氐，氐亦聲。,未找到,新附,unknown,round2,15,,大徐新附字，儈債也找不到
5181,債,責,False,債負也。从人、責，責亦聲。,未找到,新附,unknown,round2,15,-,not in Xiao Xu 人部
5182,價,賈,False,物直也。从人、賈，賈亦聲。,未找到,新附,unknown,round2,15,-,大徐新附字，小徐無
5184,僦,就,False,賃也。从人、就，就亦聲。,未找到,新附,unknown,round2,15,,人部此段不見
5192,化,𠤎,True,教行也。从𠤎从人，𠤎亦聲。,亦聲,,both,round2,15,敎行也从人从匕匕亦聲,𠤎作匕
5203,從,从,True,隨行也。从辵、从，从亦聲。,亦聲,,both,round3_scan,15,隨行也從辵从从亦聲,The 从部 header is at 14a (p92 left). [扫描 n4.pdf p93 right 015-14b]
5302,衵,日,True,日日所常衣。从衣从日，日亦聲。,亦聲,,both,round1,,日日所常衣从衣从日亦日聲,"第一轮误判：小徐作""从衣从日亦日聲""，即亦聲，只是语序不同"
5317,𧝉,黹,True,紩衣也。从衣、黹，黹亦聲。,亦聲,,both,round1,,反紩衣从衣黹黹亦聲,
